,id
0,R1312868
1,R1418311
2,R3377820
3,R963764
4,R175481
5,R2682926
6,R963794
7,R2689476
8,R253824
9,R3377873
10,R3377835
11,R3936114
12,R3441283
13,R1437127
14,R3939930
15,R2547126
16,R3031682
17,R2679920
18,R2296668
19,R117709
20,R2682914
21,R3030295
22,R2682922
23,R1748539
24,R2049848
25,R174387
26,R1670935
27,R1153174
28,R1599637
29,R182887
30,R2356000
31,R3488359
32,R119990
33,R2728438
34,R3437391
35,R124821
36,R2069683
37,R2105705
38,R3390600
39,R2623018
40,R347950
41,R2220322
42,R119569
43,R183421
44,R239887
45,R1933719
46,R1437129
47,R2682932
48,R1390623
49,R3437172
50,R3511787
51,R111825
52,R2689429
53,R132145
54,R3388835
55,R1759474
56,R2999176
57,R1749244
58,R2679906
59,R2679914
60,R1118893
61,R2679912
62,R1382820
63,R4145881
64,R132206
65,R2408838
66,R119959
67,R184985
68,R194124
69,R2383939
70,R2689426
71,R1839563
72,R2682908
73,R3160177
74,R125650
75,R2521434
76,R2628521
77,R125785
78,R4198908
79,R1735835
80,R2758781
81,R174979
82,R125411
83,R2318282
84,R3348896
85,R180114
86,R62407
87,R3154746
88,R3158297
89,R2679930
90,R2410555
91,R2688911
92,R2320570
93,R1768502
94,R3649003
95,R174916
96,R3163676
97,R2682890
98,R1768272
99,R2682925
100,R1109531
101,R1768312
102,R3309365
103,R1382494
104,R181886
105,R62430
106,R3308306
107,R1865315
108,R2689444
109,R2164745
110,R3554015
111,R2175059
112,R2538203
113,R1792913
114,R2679904
115,R2679938
116,R1517394
117,R3277038
118,R2878463
119,R2387995
120,R3308039
121,R198772
122,R1282148
123,R3476238
124,R2049867
125,R3305920
126,R2682910
127,R175466
128,R1752948
129,R2350024
130,R119373
131,R2396450
132,R1801797
133,R2416081
134,R3396088
135,R1760124
136,R194134
137,R134765
138,R963787
139,R111968
140,R1430614
141,R2344391
142,R1128379
143,R389790
144,R1865772
145,R4188047
146,R2131434
147,R2682889
148,R62559
149,R1853866
150,R2190496
151,R1782722
152,R1759477
153,R1838336
154,R185048
155,R1761743
156,R2712310
157,R3306086
158,R2875222
159,R175031
160,R2682897
161,R1430616
162,R3816063
163,R3554346
164,R2682931
165,R1863552
166,R119734
167,R3058686
168,R1477110
169,R2381773
170,R131885
171,R1645367
172,R3653961
173,R1768273
174,R112143
175,R3171497
176,R930950
177,R114496
178,R1902682
179,R1865757
180,R2409550
181,R4196833
182,R1674442
183,R3520594
184,R119571
185,R1488071
186,R2738421
187,R2682892
188,R3116010
189,R207359
190,R175487
191,R3540206
192,R3940146
193,R1281564
194,R3864704
195,R2679948
196,R1202659
197,R3694013
198,R3406249
199,R3337257
200,R2679921
201,R1574611
202,R174482
203,R184748
204,R119192
205,R963789
206,R3437242
207,R1430508
208,R3536487
209,R2614178
210,R136612
211,R3396084
212,R1768315
213,R3554304
214,R3442814
215,R2866010
216,R3610503
217,R3936275
218,R3986379
219,R1931997
220,R2682906
221,R3440980
222,R2689440
223,R345456
224,R1252581
225,R4230155
226,R1165478
227,R2224013
228,R3862199
229,R2692232
230,R179034
231,R79911
232,R3368701
233,R181889
234,R119817
235,R174885
236,R2679899
237,R2682900
238,R174472
239,R188481
240,R2062152
241,R119970
242,R3531585
243,R2689422
244,R2679915
245,R2689430
246,R2228485
247,R2407500
248,R1768314
249,R130921
250,R2900261
251,R2408844
252,R3363950
253,R2910703
254,R2122758
255,R206673
256,R125756
257,R3134925
258,R1768336
259,R2679943
260,R2529624
261,R366544
262,R188022
263,R2506125
264,R194120
265,R119643
266,R361818
267,R1382923
268,R2682898
269,R2682913
270,R2679896
271,R175050
272,R4062443
273,R1181618
274,R2682923
275,R1181621
276,R4185743
277,R174494
278,R175464
279,R1382460
280,R1768274
281,R2911978
282,R2414222
283,R2689481
284,R182777
285,R2679949
286,R3396612
287,R2679917
288,R963797
289,R963792
290,R1761718
291,R2799215
292,R3940406
293,R3575300
294,R174933
295,R3511468
296,R125796
297,R2032280
298,R4116163
299,R400507
300,R1929810
301,R2049858
302,R119370
303,R1491893
304,R1382458
305,R1933746
306,R1544955
307,R3866463
308,R2679924
309,R2679925
310,R1438336
311,R2689445
312,R2383991
313,R113008
314,R2062154
315,R1749243
316,R134897
317,R3642177
318,R174883
319,R3313703
320,R113954
321,R110691
322,R1861888
323,R2679907
324,R3374767
325,R2679923
326,R119565
327,R4155387
328,R4089182
329,R174399
330,R176069
331,R2689438
332,R2682901
333,R62644
334,R3835109
335,R3338286
336,R2401094
337,R174952
338,R1926754
339,R3562367
340,R1701311
341,R191645
342,R1555410
343,R299354
344,R2679901
345,R2865045
346,R206637
347,R2479316
348,R2679937
349,R2283083
350,R136670
351,R175549
352,R2682920
353,R1360937
354,R963784
355,R1933055
356,R1382493
357,R2407513
358,R3807613
359,R3374737
360,R2530671
361,R1988678
362,R1758878
363,R1429283
364,R2407259
365,R182882
366,R1759506
367,R163244
368,R3940067
369,R3678529
370,R174869
371,R398021
372,R2069556
373,R1840167
374,R324211
375,R345039
376,R3511823
377,R125791
378,R2689441
379,R2682907
380,R1758947
381,R1629268
382,R1768399
383,R963777
384,R3555552
385,R1653741
386,R119694
387,R1413957
388,R1954127
389,R2682927
390,R2555133
391,R2222157
392,R3578080
393,R2407358
394,R112912
395,R1248301
396,R2171253
397,R2910227
398,R2689443
399,R1758897
400,R2730507
401,R963782
402,R131703
403,R2498868
404,R119639
405,R2048253
406,R3616563
407,R2408836
408,R1181614
409,R2793022
410,R1327509
411,R1306984
412,R1761717
413,R3099384
414,R2401506
415,R2647900
416,R2387988
417,R127408
418,R2408837
419,R174495
420,R2465058
421,R3678531
422,R1860880
423,R206666
424,R2682928
425,R2689433
426,R324212
427,R137238
428,R169588
429,R1746879
430,R2689442
431,R2221709
432,R119521
433,R2383150
434,R1489187
435,R2131460
436,R2586928
437,R1863553
438,R2068203
439,R1758936
440,R118879
441,R1381350
442,R1645570
443,R119567
444,R1768402
445,R115275
446,R3551849
447,R2131479
448,R1942017
449,R183453
450,R2295550
451,R3308780
452,R346782
453,R3437417
454,R2997809
455,R2689421
456,R1517207
457,R3565917
458,R421866
459,R184964
460,R125398
461,R3864703
462,R167857
463,R1549169
464,R2773264
465,R206672
466,R2679911
467,R3306997
468,R169681
469,R178128
470,R3087156
471,R1380013
472,R119353
473,R2679918
474,R2689424
475,R1515474
476,R333748
477,R1482451
478,R4196796
479,R1775054
480,R1285772
481,R1758888
482,R2409549
483,R2689425
484,R2679934
485,R1749248
486,R175905
487,R3377881
488,R2679929
489,R1361875
490,R1934961
491,R2762261
492,R1748490
493,R127409
494,R2380421
495,R2682893
496,R3992676
497,R3106939
498,R2679900
499,R2682891
